2012-01-09 23:07:04 Notice: Notice (8): Undefined property: App::$persistModel in [/usr/share/php/cake/libs/controller/controller.php, line 623]
2012-01-09 23:07:04 Notice: Notice (8): Undefined property: App::$persistModel in [/usr/share/php/cake/libs/controller/controller.php, line 646]
2012-01-09 23:43:22 Notice: Notice (8): Undefined index: User in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/alogs/index.ctp, line 45]
2012-01-09 23:43:22 Notice: Notice (8): Undefined index: User in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/alogs/index.ctp, line 46]
2012-01-09 23:43:22 Notice: Notice (8): Undefined index: User in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/alogs/index.ctp, line 48]
2012-01-09 23:43:22 Notice: Notice (8): Undefined index: User in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/alogs/index.ctp, line 52]
2012-01-09 23:43:22 Notice: Notice (8): Undefined index: User in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/alogs/index.ctp, line 55]
2012-01-09 23:43:22 Notice: Notice (8): Undefined index: User in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/alogs/index.ctp, line 58]
2012-01-09 23:43:50 Notice: Notice (8): Undefined index: User in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/alogs/index.ctp, line 45]
2012-01-09 23:43:50 Notice: Notice (8): Undefined index: User in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/alogs/index.ctp, line 46]
2012-01-09 23:43:50 Notice: Notice (8): Undefined index: User in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/alogs/index.ctp, line 48]
2012-01-09 23:43:50 Notice: Notice (8): Undefined index: User in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/alogs/index.ctp, line 52]
2012-01-09 23:43:50 Notice: Notice (8): Undefined index: User in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/alogs/index.ctp, line 55]
2012-01-09 23:43:50 Notice: Notice (8): Undefined index: User in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/alogs/index.ctp, line 58]
2012-01-09 23:43:50 Notice: Notice (8): Undefined index: User in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/alogs/index.ctp, line 60]
2012-01-09 23:44:22 Notice: Notice (8): Undefined index: User in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/alogs/index.ctp, line 46]
2012-01-09 23:44:22 Notice: Notice (8): Undefined index: User in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/alogs/index.ctp, line 47]
2012-01-09 23:44:22 Notice: Notice (8): Undefined index: User in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/alogs/index.ctp, line 49]
2012-01-09 23:44:22 Notice: Notice (8): Undefined index: User in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/alogs/index.ctp, line 53]
2012-01-09 23:44:22 Notice: Notice (8): Undefined index: User in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/alogs/index.ctp, line 56]
2012-01-09 23:44:22 Notice: Notice (8): Undefined index: User in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/alogs/index.ctp, line 59]
2012-01-09 23:44:22 Notice: Notice (8): Undefined index: User in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/alogs/index.ctp, line 61]
2012-01-09 23:51:56 Notice: Notice (8): Undefined offset: 0 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 71]
2012-01-09 23:51:56 Notice: Notice (8): Undefined offset: 0 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 72]
2012-01-09 23:51:56 Notice: Notice (8): Undefined offset: 0 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 74]
2012-01-09 23:53:29 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 70]
2012-01-09 23:53:29 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 71]
2012-01-09 23:53:29 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 73]
2012-01-09 23:54:05 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 70]
2012-01-09 23:54:05 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 71]
2012-01-09 23:54:05 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 73]
2012-01-09 23:54:11 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 70]
2012-01-09 23:54:11 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 71]
2012-01-09 23:54:11 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 73]
2012-01-09 23:56:08 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 71]
2012-01-09 23:56:08 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 72]
2012-01-09 23:56:08 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 74]
2012-01-09 23:56:14 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 71]
2012-01-09 23:56:14 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 72]
2012-01-09 23:56:14 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 74]
2012-01-09 23:58:29 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 71]
2012-01-09 23:58:29 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 72]
2012-01-09 23:58:29 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 74]
2012-01-09 23:59:19 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 71]
2012-01-09 23:59:19 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 72]
2012-01-09 23:59:19 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 74]
2012-01-09 23:59:32 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 71]
2012-01-09 23:59:32 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 72]
2012-01-09 23:59:32 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 74]
2012-01-09 23:59:33 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 71]
2012-01-09 23:59:33 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 72]
2012-01-09 23:59:33 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 74]
2012-01-09 23:59:33 Notice: Notice (8): Undefined offset: -1 in [/home/juanda/desarrollos/old-parr-toma/development/php/backend/views/users/index.ctp, line 71]
